Feature,Complexity,Core Product,Module,Notes,Priority,Status,User Type
Campaign landing page for affiliated dorms,Medium,Yes,Student Portal,"Applicant sees open campaigns, dorm scope, room type availability, required upfront conditions, and apply button.",Must Have,To Design,Student
Applicant type selection,Low,Yes,Student Portal,"Applicant selects current resident, senior from other dorm, new first-year, international student, or general applicant.",Must Have,To Design,Student
Applicant detail with slip review panel,Medium,Yes,Admin Dashboard,"Admin sees applicant profile, selected dorm/room type, expected amount, uploaded slip, status timeline, and notes.",Must Have,To Design,Admin
Configurable payment rule matrix,High,Yes,Payment,"Rules vary by dorm, campaign, applicant type, and room type. This is the key live-product rule engine.",Must Have,To Design,Admin
Dorm manager campaign setup,High,Yes,Admin Dashboard,"Admin creates early recruitment/application campaign with open date, close date, dorm, applicant types, required conditions, and room type quota.",Must Have,To Design,Admin
Required payment condition display before submit,Medium,Yes,Payment,"Show required item, amount, deadline, and warning that reservation is not confirmed until staff verification.",Must Have,To Design,Student
Manual remaining-room input after renewal,Low,Yes,Dorm Inventory,"If renewal is handled outside system in phase 1, admin manually enters remaining room type quota.",Must Have,To Design,Admin
Dorm manager dashboard for live operations,Medium,Yes,Admin Dashboard,"Show open campaigns, applicants, waiting slips, verified reservations, remaining quota, and expiring holds.",Must Have,To Design,Admin
Reservation status tracker,Medium,Yes,Student Portal,"Show Submitted, Waiting for Payment, Slip Uploaded, Verifying, Need Re-upload, Reserved, Rejected, Expired.",Must Have,To Design,Student
Export verification report,Medium,Yes,Reports,"Export expected amount, submitted amount, status, verified by, verified at, and rejection reason.",Must Have,To Design,Finance
Reject slip with reason and re-upload option,Medium,Yes,Payment,Admin or finance rejects slip with reason and can allow applicant to re-upload before deadline.,Must Have,To Design,Finance
Current resident renewal-first flow,High,No,Student Portal,Current residents reserve first. Could be a later production phase if first release starts with admin-entered remaining quota.,Should Have,Idea,Student
Export approved reservations,Medium,Yes,Reports,Export approved applicant list for existing invoice or official processing workflow.,Must Have,To Design,Admin
Manual expiration for unpaid applications,Medium,No,Payment,Staff can mark applications expired if slip is not uploaded before deadline. Automation can come later.,Should Have,Idea,All
Temporary hold after slip upload,High,Yes,Payment,"Recommended policy: hold after slip upload, confirm after verification. Need stakeholder confirmation.",Should Have,Idea,All
Approve reservation after verification,High,Yes,Payment,"Approve action confirms reservation, updates room quota, notifies applicant, and writes audit log.",Must Have,To Design,Admin
Pilot one dorm before multi-dorm launch,Medium,Yes,Research/Presentation,"Recommended live rollout strategy: support multi-dorm structure, but pilot with one dorm first.",Should Have,Idea,All
UniPay / official payment integration,High,No,Payment,Now part of the core product direction when university access is approved. Manual evidence remains fallback.,Future,Idea,Finance
Audit log for approve reject cancel actions,Medium,Yes,Reports,Important because verification and reservation changes must be accountable.,Should Have,To Design,Admin
Staff role permissions for dorm-specific access,Medium,Yes,Admin Dashboard,Managers should probably see only their dorm unless they are division-level admin. Confirm policy.,Should Have,Idea,Admin
Stakeholder meeting preparation and decision capture,Low,Yes,Research/Presentation,Use the meeting agenda page to confirm rules before implementation.,Must Have,To Design,All
Applicant re-upload history,Medium,No,Payment,Store previous rejected slips and reasons if audit requirements need it.,Could Have,Idea,Finance
CSV export for existing invoice workflow,Medium,Yes,Reports,Fallback/export option if direct official integration is not ready for the first production release.,Must Have,To Design,Admin
Waitlist when room type is full,Medium,No,Student Portal,Useful after core application and verification workflow works. Confirm whether managers want waitlist or simply close applications when full.,Could Have,Idea,Student
Existing invoice system integration,High,No,Payment,Future only. Requires access and official technical coordination.,Future,Idea,Finance
Exact room selection,High,No,Dorm Inventory,Do not build first. Start with room type/quota to reduce booking conflicts.,Future,Idea,Student
UniPay connector,High,Yes,Payment,Preferred official path when the university allows access. Manual evidence remains fallback.,Must Have,To Design,All
UniPay status sync,High,Yes,Payment,Keep local reservation state aligned with UniPay result.,Must Have,To Design,All
Official confirmation page,Medium,Yes,Student Portal,Show the official university step after application submission.,Must Have,To Design,Student
