Feature,Complexity,Core Product,Module,Notes,Priority,Status,User Type
Final presentation slide deck,Medium,Yes,Research/Presentation,Use the presentation kit page as slide outline and script.,Must Have,Idea,All
"SCB PDF, result-import and payment-exception queues",High,Yes,Payment,"Finance staff manages batches awaiting returned PDF, unmatched/ambiguous pages, result reports awaiting import, unmatched/under/over/duplicate/late payments, manual records and group-completion review.",Must Have,In Design,Finance
Affiliated dorm online application form,High,Yes,Student Portal,"Replace paper form as much as possible. Collect applicant info, student info, contact, applicant type, selected dorm/room type, and agreement.",Must Have,To Design,Student
Manual payment reference/evidence capture,Medium,Yes,Payment,"Applicant slip upload is not the normal SCB flow. Authorized finance staff may record a manual payment only with bank transaction/reference, mandatory note, optional evidence file, and audit history.",Should Have,To Design,Finance
Room-category and availability summary,Medium,Yes,Dorm Inventory,Exact rooms are authoritative. This feature derives aggregate counts by dorm/building/floor/configuration/occupancy for dashboards and campaign summaries; it must not replace exact-room holds or assignments.,Must Have,To Design,Admin
Campaign landing page for affiliated dorms,Medium,Yes,Student Portal,"Applicant sees open campaigns, dorm scope, room type availability, required upfront conditions, and apply button.",Must Have,To Design,Student
Applicant type selection,Low,Yes,Student Portal,"Applicant selects current resident, senior from other dorm, new first-year, international student, or general applicant.",Must Have,To Design,Student
Resident and reservation-group detail with payment documents,High,Yes,Admin Dashboard,"Staff sees applicant profile, roommate group/leader, exact room/occupancy, holds, ROOM/HL obligations, SCB batch row, returned PDF page, result/manual payment, exceptions, contracts, key handover and audit timeline.",Must Have,In Design,Admin
Versioned pricing and payment-action rule engine,High,Yes,Payment,"Calculate resident obligations by exact room/configuration, shared/whole-room occupancy, applicant type, academic year/cycle and payment action. HL creates ROOM+HL. One-off override is separate from permanent versioned pricing update.",Must Have,In Design,Admin
Dorm manager campaign setup,High,Yes,Admin Dashboard,"Admin creates early recruitment/application campaign with open date, close date, dorm, applicant types, required conditions, and room type quota.",Must Have,To Design,Admin
Required payment condition display before submit,Medium,Yes,Payment,"Show required item, amount, deadline, and warning that reservation is not confirmed until staff verification.",Must Have,To Design,Student
Initial exact-room status import and staff correction,Medium,Yes,Dorm Inventory,"Renewal is now inside the MVP. Admin imports/verifies exact-room master and initial resident/availability status, then corrects individual room state with reason rather than entering a manual room-type quota.",Must Have,To Design,Admin
Dorm manager dashboard for live operations,Medium,Yes,Admin Dashboard,"Show open campaigns, applicants, waiting slips, verified reservations, remaining quota, and expiring holds.",Must Have,To Design,Admin
Reservation status tracker,Medium,Yes,Student Portal,"Show Submitted, Waiting for Payment, Slip Uploaded, Verifying, Need Re-upload, Reserved, Rejected, Expired.",Must Have,To Design,Student
Export verification report,Medium,Yes,Reports,"Export expected amount, submitted amount, status, verified by, verified at, and rejection reason.",Must Have,To Design,Finance
"Payment-document/result rejection, correction and replacement",High,Yes,Payment,"Finance staff resolves invalid/unmatched PDF pages or payment-result exceptions with reason. Cancel/supersede old payment form or result mapping, generate/import corrected version, preserve history and notify resident where needed.",Must Have,In Design,Finance
Annual renewal and roommate-change flow,High,Yes,Student Portal,"Core pilot workflow. Configurable renewal campaign, prefilled reusable data, same-room continuation, roommate replacement/leader change, whole-room conversion, move/release choices, new obligations/contracts, and preserved history.",Must Have,In Design,Student
Export approved reservations,Medium,Yes,Reports,Export approved applicant list for existing invoice or official processing workflow.,Must Have,To Design,Admin
Manual expiration for unpaid applications,Medium,No,Payment,Staff can mark applications expired if slip is not uploaded before deadline. Automation can come later.,Should Have,Idea,All
Roommate-confirmation and 72-hour payment holds,High,Yes,Payment,Leader reservation holds exact room immediately. Optional roommate room confirmation expires after 15 minutes. Ready group receives one 72-hour payment hold; other candidates see temporary hold/expiry. Release/confirmation must be atomic and idempotent.,Must Have,In Design,All
Approve reservation after verification,High,Yes,Payment,"Approve action confirms reservation, updates room quota, notifies applicant, and writes audit log.",Must Have,To Design,Admin
Pilot one dorm before multi-dorm launch,Medium,Yes,Research/Presentation,"Recommended live rollout strategy: support multi-dorm structure, but pilot with one dorm first.",Should Have,Idea,All
Future automated SCB and university-system integration,High,No,Payment,"Post-MVP. Current official operational boundary is XLSX SLIPS export, returned QR PDF import, SCB result-report import, and queued university handoff/correction export. Reconsider direct APIs only after pilot stability and official approval.",Future,Idea,Finance
Audit log for approve reject cancel actions,Medium,Yes,Reports,Important because verification and reservation changes must be accountable.,Should Have,To Design,Admin
Staff role permissions for dorm-specific access,Medium,Yes,Admin Dashboard,Managers should probably see only their dorm unless they are division-level admin. Confirm policy.,Should Have,Idea,Admin
Stakeholder meeting preparation and decision capture,Low,Yes,Research/Presentation,Use the meeting agenda page to confirm rules before implementation.,Must Have,To Design,All
Applicant re-upload history,Medium,No,Payment,Store previous rejected slips and reasons if audit requirements need it.,Could Have,Idea,Finance
CSV export for existing invoice workflow,Medium,Yes,Reports,Fallback/export option if direct official integration is not ready for the first production release.,Must Have,To Design,Admin
Waitlist when room type is full,Medium,No,Student Portal,Useful after core application and verification workflow works. Confirm whether managers want waitlist or simply close applications when full.,Could Have,Idea,Student
Existing invoice system integration,High,No,Payment,Future only. Requires access and official technical coordination.,Future,Idea,Finance
Exact-room selection and atomic hold,High,Yes,Dorm Inventory,"Core pilot feature for หอ 8 หลัง + วรอินเตอร์. Applicant selects building/floor/exact room; leader reservation holds immediately, optional roommate confirmation expires after 15 minutes, then 72-hour payment hold. Must prevent concurrent double-booking.",Must Have,In Design,Student
Future direct SCB/payment-provider API connector,High,No,Payment,"Post-MVP only. Current accepted integration is operational file exchange: SCB XLSX export, returned multipage QR PDF, and downloadable result-report import. Reconsider API/callback automation only after official access and pilot stability.",Future,Idea,All
SCB payment-result report import and reconciliation,High,Yes,Payment,"Core MVP file-import workflow. Upload downloadable SCB result/transaction report, match rows to resident obligations, apply paid/unpaid idempotently, and route under/over/duplicate/late/unmatched cases to finance review.",Must Have,In Design,Finance
Official confirmation page,Medium,Yes,Student Portal,Show the official university step after application submission.,Must Have,To Design,Student
Manual bank-transaction verification,High,Yes,Payment,"Authorized payment-verification staff matches the submitted slip and transfer details against the actual bank statement before verify/reject/re-upload/manual review. Evidence enters Pending Verification review hold after upload. The queue is working-day-aware: staff work six days per week, and off-day submissions remain pending until the next working day.",Must Have,To Design,Staff
Duplicate payment transaction protection,High,Yes,Payment,Prevent one bank reference or matching transaction from satisfying multiple applications; include concurrent verification tests and possible-duplicate warnings.,Must Have,To Design,Staff
SCB SLIPS Excel batch export,High,Yes,Payment,"Supersedes shared static QR. Generate exact .xlsx workbook with sheet SLIPS, bank column order, blank ID, room/action references, resident obligation amount and batch/row history. Finance permission only.",Must Have,In Design,Finance
Working-day-aware payment verification queue,Medium,Yes,Payment,"Show Pending Verification age, payment deadline, expected review day, and off-day handling. Staff work six days per week; submissions on the regular off-day remain pending until the next working day and must not expire incorrectly.",Must Have,To Design,Staff
Optional KKU identity-link conflict review,Medium,Yes,Admin Dashboard,Restricted staff workflow for duplicate KKU identity or profile mismatch when optional KKU linking is attempted. No account-issuance exception or contract gate is needed.,Should Have,To Design,Staff
Personal-email registration and verification,Medium,Yes,Student Portal,Allow applicants without a KKU account to create a verified personal-email account and complete the full pilot workflow. No anonymous submissions; student ID and KKU link remain optional.,Must Have,In Design,Student
Optional KKU SSO login and account linking,Medium,Yes,Student Portal,"Support KKU SSO at initial login or optional later linking to the same internal user. It does not gate reservation, printed contract, physical signing, or check-in.",Should Have,In Design,Student
Grouped printable contracts and physical-signature tracking,High,Yes,Admin Dashboard,"Shared room generates two separate resident contracts under one reservation group after both residents complete required payments; whole-room uses one contract. Applicant/staff print, private signed scan/photo, reprint/correction history and group completion.",Must Have,In Design,Staff
Whole-room rental occupancy and pricing,High,Yes,Dorm Inventory,"One resident may rent a two-person room alone, block the second slot, receive full-room obligations per action, and use the same contract template with whole-room occupancy/price values.",Must Have,In Design,Student
HL dual ROOM and HL payment obligations,High,Yes,Payment,Every HL room creates separate resident ROOM and HL obligations while student-facing UX presents the room clearly as air-conditioned. Pricing remains configurable by room/year/occupancy/equipment.,Must Have,In Design,All
"Room plan, dimensions and room-master import",Medium,Yes,Dorm Inventory,"Import/verify official building-floor-room data, unique room numbers, dimensions, old PDF/image plans, facilities and current configuration for both pilot dorm groups.",Must Have,To Design,Admin
Payment exception and group-completion queue,High,Yes,Payment,"Review underpayment, overpayment, duplicate, late/post-expiry, unmatched result, ROOM-paid/HL-unpaid and one-roommate-paid cases before final room confirmation.",Must Have,In Design,Finance
Manual reservation and manual payment controls,High,Yes,Admin Dashboard,Authorized dorm staff may create final exact-room reservations; finance staff may record manual payment with bank reference and mandatory note. Both require scoped permissions and audit evidence.,Must Have,In Design,Staff
Signed contract scan and separate key handover,High,Yes,Check-in,"After payment confirmation, store private signed contract scan/photo and record a separate signed key-handover document. Shared group remains incomplete until both resident contracts are received.",Must Have,In Design,Staff
Returned SCB multipage PDF import and resident-page matching,High,Yes,Payment,"Import one combined QR payment-form PDF, preserve original/checksum, extract text per page, match to resident obligation without relying on Ref.1+Ref.2 or page order, and support audited manual rematch/supersession.",Must Have,In Design,Finance
University handoff queue and correction export,High,Yes,Reports,"Queue confirmed residents until official university round opens; export approved data; preserve original submission and create separate correction exports for later room, roommate or amount changes.",Must Have,In Design,Staff
